Pergerakan DPK1,-77.2983147532237%
Pergerakan DPK1 Dari Hari Sebelum,-8.35870156126705%
Pergerakan DPK1 Debitur,27907
Pergerakan DPK1 Outstanding,1818489452277
Pergerakan DPK1 Outstanding M,1818.489452277
Pergerakan DPK2,-86.0503371404588%
Pergerakan DPK2 Dari Hari Sebelum,-27.7504387272957%
Pergerakan DPK2 Debitur,10767
Pergerakan DPK2 Outstanding,643244480779
Pergerakan DPK2 Outstanding M,643.244480779
Pergerakan DPK3,-85.7188504024763%
Pergerakan DPK3 Dari Hari Sebelum,-35.8160478597008%
Pergerakan DPK3 Debitur,5338
Pergerakan DPK3 Outstanding,330001521505
Pergerakan DPK3 Outstanding M,330.001521505
Pergerakan DPK3 ke PL,-40.4452030453489%
Pergerakan DPK3 ke PL Dari Hari Sebelum,-9.80729465432053%
Pergerakan DPK3 ke PL Debitur,2322
Pergerakan DPK3 ke PL Outstanding,118621030579
Pergerakan DPK3 ke PL Outstanding M,118.621030579
Pergerakan Kol 5,3.38441213573288%
Pergerakan Kol 5 Dari Hari Sebelum,-0.193822149039894%
Pergerakan Kol 5 Debitur,49546
Pergerakan Kol 5 Outstanding,2169443134437
Pergerakan Kol 5 Outstanding M,2169.443134437
Pergerakan Kol 5 ke PL,1.28368177317917%
Pergerakan Kol 5 ke PL Dari Hari Sebelum,-0.192698524013059%
Pergerakan Kol 5 ke PL Debitur,51183
Pergerakan Kol 5 ke PL Outstanding,2216613732506
Pergerakan Kol 5 ke PL Outstanding M,2216.613732506
Pelunasan Kol 5,1.35178788871303%
Pelunasan Kol 5 Dari Hari Sebelum,-0.0124022480970797%
Pelunasan Kol 5 Debitur,50455
Pelunasan Kol 5 Outstanding,2215084451900
Pelunasan Kol 5 Outstanding M,2215.0844519
Penyelesaian dan Bergeser ke PL Kol 5,2.6354696618922%
Penyelesaian dan Bergeser ke PL Kol 5 Dari Hari Sebelum,-0.207885375715333%
Penyelesaian dan Bergeser ke PL Kol 5 Debitur,49878
Penyelesaian dan Bergeser ke PL Kol 5 Outstanding,2186260173425
Penyelesaian dan Bergeser ke PL Kol 5 Outstanding M,2186.260173425
